player;age;games;min;weight;height;points;a_field_goals;p_field_goals;p_efg;p_2points;a_3points;p_3points;prop_2p;prop_3p;a_free_throws;p_free_throws;p_true_shooting;oreb;dreb;reb;p_oreb;p_dreb;p_reb;assist;tov;steal;blocks;fauls;off_rtng;def_rtng;net_rtng;plus_minus;p_usage
Jaylen Morris;26;3;5.3;185;6,5;0.7;2;0;0;0;0.7;0;0.667;0.333;1.3;0.5;0.129;0;0.7;0.7;0;0.118;0.059;0.7;0.3;0;0;0.7;114.3;91.4;22.9;2.7;0.231
Jaylen Nowell;22;62;15.7;201;6,4;8.5;6.7;0.475;0.551;0.505;2.6;0.394;0.613;0.387;1.5;0.783;0.581;0.4;1.6;2;0.022;0.1;0.061;2.1;0.6;0.4;0.2;1.2;114.5;111.7;2.8;1.1;0.205
Jaysean Paige;27;1;6.6;200;6,2;0;3;0;0;0;2;0;0.333;0.667;0;0;0;0;1;1;0;0.091;0.043;1;1;0;0;2;43.8;113.3;-69.6;-10;0.211
Jayson Tatum;24;76;35.9;210;6,8;26.9;20.6;0.453;0.526;0.467;8.6;0.353;0.584;0.416;6.2;0.853;0.578;1.1;6.9;8;0.032;0.18;0.109;4.4;2.9;1;0.6;2.3;115.5;103.4;12.1;8.8;0.313
Jeff Dowtin;25;9;12;177;6,3;2.1;2.9;0.308;0.327;0.737;1;0.111;0.654;0.346;0.2;1;0.353;0.9;1.1;2;0.065;0.097;0.08;1.1;0.6;0.6;0.1;0.6;97.4;109.6;-12.3;-2.9;0.119
Jeff Green;35;75;24.7;235;6,8;10.3;7.1;0.524;0.574;0.58;2.2;0.315;0.682;0.318;2.6;0.833;0.627;0.5;2.5;3.1;0.024;0.1;0.063;1.3;0.9;0.4;0.4;2;113.3;111.5;1.8;0.8;0.16
Jemerrio Jones;27;2;7.4;175;6,5;2;1.5;0.667;0.667;1;0;0;1;0;0;0;0.667;1;0.5;1.5;0.118;0.056;0.086;0;0;0.5;0;1;83.9;121.9;-38;-6.5;0.083
Jerami Grant;28;47;31.9;210;6,8;19.2;14.9;0.426;0.491;0.458;5.4;0.358;0.637;0.363;5.5;0.838;0.556;0.6;3.5;4.1;0.017;0.108;0.06;2.4;1.8;0.9;1;2.3;102.9;110.7;-7.8;-4.7;0.253
Jeremiah Robinson-Earl;21;49;22.2;242;6,8;7.5;6.6;0.414;0.503;0.415;3.4;0.352;0.491;0.509;1.1;0.741;0.526;1.5;4.1;5.6;0.061;0.172;0.115;1;0.8;0.6;0.3;1.5;101.1;110.9;-9.8;-4.9;0.152
Jeremy Lamb;30;56;16.7;180;6,5;7.3;6.2;0.383;0.463;0.38;3;0.324;0.51;0.49;1.9;0.84;0.521;0.5;2.3;2.8;0.026;0.134;0.079;1.4;0.7;0.6;0.4;1.1;110.3;109.7;0.6;0.4;0.189
Jericho Sims;23;41;13.5;250;6,9;2.2;1.3;0.722;0.722;0.867;0;0;1;0;0.7;0.414;0.674;1.5;2.6;4.1;0.108;0.187;0.148;0.5;0.5;0.3;0.5;1.6;109.3;102.9;6.5;1.9;0.068
Jevon Carter;26;66;13.7;200;6,1;4.2;3.8;0.387;0.518;0.231;2.6;0.388;0.328;0.672;0.3;0.833;0.531;0.2;1.5;1.7;0.014;0.097;0.056;1.5;0.5;0.4;0.2;1;107.3;110.3;-3;-0.8;0.135
Jimmy Butler;32;57;33.9;230;6,7;21.4;14.5;0.48;0.496;0.609;2;0.233;0.86;0.14;8;0.87;0.592;1.8;4.1;5.9;0.055;0.125;0.09;5.5;2.1;1.6;0.5;1.5;114.4;108.4;6.1;4.3;0.26
Jock Landale;26;54;10.9;255;6,11;4.9;3.8;0.495;0.566;0.543;1.6;0.326;0.564;0.436;0.8;0.829;0.597;1.2;1.4;2.6;0.094;0.118;0.106;0.8;0.6;0.2;0.3;1;107.9;109;-1.1;-0.3;0.172
Joe Harris;30;14;30.2;220;6,6;11.3;8.9;0.452;0.617;0.19;6.3;0.466;0.29;0.71;0.4;0.833;0.624;0.4;3.6;4;0.012;0.109;0.064;1;1.1;0.5;0.1;2.2;106.6;105.6;1.1;1.1;0.146
Joe Ingles;34;45;24.9;220;6,8;7.2;6.3;0.404;0.54;0.228;5;0.347;0.211;0.789;0.5;0.773;0.551;0.3;2.6;2.9;0.01;0.099;0.056;3.5;1;0.5;0.1;1.8;111.9;103.7;8.2;4.1;0.129
Joe Johnson;41;1;2;240;6,7;2;1;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;80;180;-100;-5;0.2
Joe Wieskamp;22;29;7.1;205;6,6;2.1;1.9;0.357;0.482;0.197;1.5;0.326;0.232;0.768;0.4;0.538;0.494;0.1;0.3;0.5;0.017;0.045;0.031;0.3;0.1;0.1;0.1;0.5;106.5;105.1;1.5;0;0.129
Joel Ayayi;22;7;2.9;180;6,4;0.3;0.9;0.167;0.167;1;0.1;0;0.833;0.167;0;0;0.167;0.1;0.3;0.4;0.037;0.105;0.065;0.6;0;0;0;0;94.7;82.5;12.2;0.4;0.133
Joel Embiid;28;68;33.8;280;7,0;30.6;19.6;0.499;0.534;0.551;3.7;0.371;0.812;0.188;11.8;0.814;0.616;2.1;9.6;11.7;0.068;0.273;0.176;4.2;3.1;1.1;1.5;2.7;115.6;107.8;7.9;5.4;0.375
John Collins;24;54;30.8;226;6,9;16.2;11.9;0.526;0.576;0.628;3.3;0.364;0.727;0.273;3.1;0.793;0.61;1.7;6.1;7.8;0.056;0.19;0.124;1.8;1.1;0.6;1;3;113.5;112.7;0.8;0.7;0.202
John Konchar;26;72;17.9;210;6,5;4.8;3.6;0.515;0.615;0.476;1.8;0.413;0.519;0.481;0.7;0.551;0.615;1.2;3.4;4.6;0.059;0.182;0.117;1.5;0.4;0.6;0.3;1.3;109.7;107;2.7;1.3;0.097
Jon Teske;25;3;2.6;265;7,1;0;0.3;0;0;0;0;0;1;0;0.7;0;0;0;0.7;0.7;0;0.286;0.111;0.3;0;0.3;0;0.3;82.4;89.5;-7.1;-1;0.1
Jonas Valanciunas;30;74;30.3;265;6,11;17.8;12.7;0.544;0.574;0.689;2.1;0.361;0.832;0.168;3.9;0.82;0.617;3.1;8.3;11.4;0.1;0.28;0.189;2.6;2.4;0.6;0.8;3.3;111.4;110.2;1.2;0.9;0.238
Jonathan Kuminga;19;70;16.9;225;6,7;9.3;6.6;0.513;0.567;0.571;2.1;0.336;0.676;0.324;2.7;0.684;0.6;0.8;2.6;3.3;0.047;0.139;0.096;0.9;1.1;0.4;0.3;2.1;109.5;107.5;1.9;0.5;0.227
Jordan Bell;27;1;2;216;6,7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0.5;0;0.5;0;0;1;0;2;200;175;25;1;0
Jordan Clarkson;30;79;27.1;194;6,4;16;14.1;0.419;0.504;0.436;7.6;0.318;0.464;0.536;2.2;0.828;0.532;0.8;2.6;3.5;0.03;0.091;0.061;2.5;1.6;0.8;0.2;1.9;115.7;107;8.7;4.8;0.258
Jordan Goodwin;23;2;3;200;6,3;0;1.5;0;0;0;0.5;0;0.667;0.333;0;0;0;0;0.5;0.5;0;0.2;0.077;0;0;0;0;0.5;40;150;-110;-4;0.25
Jordan McLaughlin;26;62;14.5;185;5,11;3.8;3.2;0.44;0.507;0.524;1.4;0.318;0.575;0.425;0.6;0.75;0.535;0.4;1.2;1.5;0.023;0.075;0.049;2.9;0.6;0.9;0.2;0.9;111.4;109;2.4;0.6;0.115
Jordan Nwora;23;62;19.1;225;6,8;7.9;7.5;0.403;0.488;0.439;3.7;0.348;0.509;0.491;0.7;0.837;0.506;0.6;3;3.6;0.03;0.147;0.089;1;0.9;0.4;0.3;1.3;109.5;112.5;-3;-1.2;0.187
Jordan Poole;23;76;30;194;6,4;18.5;13.9;0.448;0.548;0.374;7.6;0.364;0.452;0.548;3.5;0.925;0.598;0.4;3;3.4;0.015;0.094;0.056;4;2.5;0.8;0.3;2.7;112.1;105.5;6.6;4.3;0.252
Jordan Schakel;24;4;7.6;200;6,6;1.3;2.8;0.091;0.136;0;1.5;0.167;0.455;0.545;0.5;1;0.21;0.5;1.5;2;0.063;0.188;0.125;0;0.3;0.3;0;0;101.6;93.8;7.9;0.5;0.191
Jose Alvarado;24;54;15.4;179;6,0;6.1;5.4;0.446;0.5;0.6;2;0.291;0.626;0.374;1;0.679;0.52;0.5;1.4;1.9;0.029;0.094;0.06;2.8;0.7;1.3;0.1;1.4;112.1;104.8;7.3;2.6;0.174
Josh Christopher;20;74;18;215;6,3;7.9;6.8;0.448;0.504;0.572;2.6;0.296;0.622;0.378;1.5;0.735;0.534;0.7;1.8;2.5;0.037;0.103;0.069;2;1.5;0.9;0.2;1.3;106.9;116.1;-9.2;-3.7;0.205
Josh Giddey;19;54;31.5;205;6,8;12.5;12.4;0.419;0.461;0.668;3.9;0.263;0.682;0.318;1.5;0.709;0.478;1.8;6;7.8;0.052;0.175;0.113;6.4;3.2;0.9;0.4;1.6;101.1;109.4;-8.3;-5.5;0.218
Josh Green;21;67;15.5;200;6,5;4.8;3.8;0.508;0.563;0.639;1.2;0.359;0.695;0.305;0.7;0.689;0.578;0.8;1.6;2.4;0.049;0.105;0.077;1.2;0.7;0.7;0.2;1.7;107.5;103.8;3.7;1;0.13
Josh Hart;27;54;33.2;215;6,5;14.9;10.5;0.504;0.569;0.53;3.9;0.343;0.626;0.374;3.9;0.758;0.61;1.1;6;7.2;0.033;0.183;0.107;4.1;2.1;1.1;0.2;2.8;108.4;113.2;-4.9;-3.7;0.184
Josh Jackson;25;51;16.3;207;6,8;6.4;5.9;0.4;0.455;0.53;2.5;0.254;0.567;0.433;1.5;0.714;0.491;0.4;2.4;2.8;0.025;0.149;0.085;1.1;0.9;0.5;0.4;1.7;103.6;112.2;-8.6;-3.1;0.196
Josh Okogie;23;49;10.5;213;6,4;2.7;2.1;0.404;0.471;0.421;1;0.298;0.548;0.452;1;0.686;0.526;0.6;0.8;1.4;0.049;0.077;0.062;0.5;0.5;0.5;0.2;1.1;104.1;101.6;2.5;0.8;0.115
