player;age;games;min;weight;height;points;a_field_goals;p_field_goals;p_efg;p_2points;a_3points;p_3points;prop_2p;prop_3p;a_free_throws;p_free_throws;p_true_shooting;oreb;dreb;reb;p_oreb;p_dreb;p_reb;assist;tov;steal;blocks;fauls;off_rtng;def_rtng;net_rtng;plus_minus;p_usage
Khem Birch;29;55;18;233;6,9;4.5;3.6;0.485;0.485;0.785;0.3;0;0.93;0.07;1.3;0.746;0.534;2.2;2.1;4.3;0.112;0.128;0.12;1;0.5;0.5;0.5;1.9;112.3;112.4;-0.1;0.4;0.108
Khris Middleton;30;66;32.4;222;6,7;20.1;15.5;0.443;0.522;0.438;6.6;0.373;0.575;0.425;4.4;0.89;0.577;0.6;4.8;5.4;0.019;0.136;0.079;5.4;2.9;1.2;0.3;2.4;115;109.6;5.4;4.6;0.255
Killian Hayes;20;66;25;195;6,5;6.9;7;0.383;0.431;0.583;2.5;0.263;0.636;0.364;1.1;0.77;0.461;0.5;2.6;3.2;0.02;0.108;0.061;4.2;1.7;1.2;0.5;2.8;102.6;112.9;-10.3;-5.6;0.154
Killian Tillie;24;36;12.8;220;6,9;3.3;3.5;0.339;0.445;0.271;2.4;0.314;0.323;0.677;0.2;0.625;0.452;0.6;1.1;1.7;0.04;0.085;0.061;0.6;0.4;0.6;0.4;1.6;109.2;105.8;3.4;0.8;0.128
Kira Lewis Jr.;21;24;14.2;170;6,1;5.9;6.1;0.404;0.449;0.652;2.4;0.224;0.603;0.397;0.5;0.833;0.466;0.4;1.3;1.6;0.023;0.083;0.052;2;1.1;0.5;0;0.7;94.9;109;-14.1;-4.5;0.209
Klay Thompson;32;32;29.4;220;6,6;20.4;17.9;0.429;0.529;0.405;9.3;0.385;0.483;0.517;1.6;0.902;0.547;0.5;3.4;3.9;0.015;0.106;0.062;2.8;1.3;0.5;0.5;1.7;111.4;108;3.3;2.1;0.284
Kris Dunn;28;14;24;205;6,3;7.6;7.3;0.431;0.436;0.811;0.8;0.091;0.892;0.108;1.3;0.944;0.482;0.6;2.9;3.5;0.027;0.12;0.073;5.6;2.3;1.6;0.2;2.7;105.8;117.8;-12;-6.6;0.176
Kristaps Porzingis;26;51;29;240;7,3;20.2;15;0.459;0.51;0.532;4.9;0.31;0.671;0.329;5.6;0.867;0.577;2;6.1;8.1;0.068;0.204;0.137;2.3;1.6;0.7;1.6;2.7;109.9;109.5;0.4;0.6;0.286
Kyle Anderson;28;69;21.5;230;6,9;7.6;6.8;0.446;0.484;0.664;1.6;0.33;0.768;0.232;1.5;0.638;0.506;1;4.3;5.3;0.041;0.196;0.115;2.7;1;1.1;0.7;1.6;110.3;108.3;2;0.9;0.156
Kyle Guy;24;19;9.8;167;6,1;3.9;3.4;0.4;0.508;0.324;2.1;0.35;0.385;0.615;0.6;0.667;0.526;0.2;0.7;0.9;0.02;0.069;0.044;0.9;0.7;0.4;0.1;0.6;96.5;110.1;-13.6;-2.5;0.182
Kyle Kuzma;26;66;33.4;221;6,9;17.1;14.2;0.452;0.52;0.522;5.7;0.341;0.599;0.401;3.3;0.712;0.547;1.1;7.4;8.5;0.032;0.213;0.126;3.5;2.6;0.6;0.9;1.9;108.2;114.3;-6.1;-4.3;0.238
Kyle Lowry;36;63;33.9;196;6,0;13.4;10;0.44;0.555;0.313;6.1;0.377;0.391;0.609;2.8;0.851;0.6;0.5;4;4.5;0.016;0.116;0.067;7.5;2.7;1.1;0.3;2.8;112.5;106.6;5.9;4;0.178
Kyrie Irving;30;29;37.6;195;6,2;27.4;21.2;0.469;0.55;0.475;8.2;0.418;0.612;0.388;4.4;0.915;0.592;0.6;3.8;4.4;0.015;0.096;0.057;5.8;2.5;1.4;0.6;2.8;118.9;113.8;5.2;4.2;0.283
LaMarcus Aldridge;36;47;22.3;250;6,11;12.9;9.7;0.55;0.566;0.784;1;0.304;0.9;0.1;2.2;0.873;0.604;1.6;3.9;5.5;0.071;0.16;0.118;0.9;0.9;0.3;1;1.7;111.3;111.1;0.1;0.4;0.219
LaMelo Ball;20;75;32.3;180;6,7;20.1;16.7;0.429;0.517;0.422;7.5;0.389;0.549;0.451;3.2;0.872;0.554;1.4;5.2;6.7;0.042;0.157;0.098;7.6;3.3;1.6;0.4;3.2;114;112.5;1.5;1.3;0.271
Lamar Stevens;24;63;16.1;230;6,6;6.1;5.1;0.489;0.517;0.721;1;0.277;0.796;0.204;1.2;0.707;0.544;0.7;1.9;2.6;0.048;0.112;0.081;0.7;0.7;0.5;0.3;1.7;108.4;109.7;-1.3;-0.6;0.169
Lance Stephenson;31;46;17.7;210;6,5;8.3;7;0.455;0.497;0.625;2;0.3;0.721;0.279;1.7;0.788;0.536;0.3;2.5;2.8;0.014;0.149;0.079;3.6;1.6;0.5;0.1;2.1;110.4;117.4;-7;-2.5;0.219
Landry Shamet;25;69;20.8;190;6,4;8.3;7;0.394;0.521;0.237;4.8;0.368;0.311;0.689;1.2;0.84;0.55;0.2;1.6;1.8;0.01;0.072;0.041;1.6;0.6;0.4;0.1;1.3;107.8;102.9;4.9;2;0.16
Langston Galloway;30;7;15.2;200;6,1;2;3.7;0.231;0.269;0.571;2.3;0.125;0.385;0.615;0;0;0.269;0.4;2.1;2.6;0.023;0.106;0.067;1.7;0.9;0.1;0;1;93.4;100;-6.6;-1.7;0.118
Larry Nance Jr.;29;46;22.6;245;6,7;7;5.4;0.522;0.569;0.66;1.5;0.329;0.717;0.283;1.2;0.702;0.59;1.6;3.8;5.4;0.069;0.173;0.12;1.8;0.8;0.9;0.4;1.8;110.7;112.6;-1.9;-1.3;0.128
Lauri Markkanen;25;61;30.8;240;6,11;14.8;11.5;0.445;0.542;0.393;6.2;0.358;0.459;0.541;2.6;0.868;0.582;1;4.7;5.7;0.033;0.147;0.092;1.3;0.9;0.7;0.5;2.1;113.9;109.9;3.9;2.8;0.192
LeBron James;37;56;37.2;250;6,9;30.3;21.8;0.524;0.59;0.565;8;0.359;0.633;0.367;6;0.756;0.619;1.1;7.1;8.2;0.031;0.185;0.109;6.2;3.5;1.3;1.1;2.2;110.9;113.5;-2.5;-2.1;0.317
Leandro Bolmaro;21;35;6.9;200;6,6;1.4;1.5;0.315;0.361;0.48;0.5;0.278;0.667;0.333;0.4;0.846;0.419;0.5;0.8;1.2;0.062;0.107;0.084;0.6;0.4;0.2;0;0.7;102.6;102.5;0.2;0.1;0.122
Lindell Wigginton;24;19;10.5;189;6,1;4.2;3.2;0.426;0.5;0.425;1.4;0.346;0.574;0.426;1.8;0.543;0.524;0.2;1.2;1.3;0.015;0.106;0.062;1.2;0.6;0.3;0.1;0.9;107.3;119.2;-11.8;-2.5;0.183
Lindy Waters III;24;25;18.6;215;6,6;8;7;0.406;0.557;0.181;5.8;0.363;0.166;0.834;0.2;0.8;0.562;0.2;2.7;2.9;0.012;0.14;0.075;1;0.4;0.8;0.3;1.2;108.5;113.2;-4.7;-1.6;0.166
Lonnie Walker IV;23;70;23;204;6,4;12.1;10.9;0.407;0.48;0.471;5;0.314;0.538;0.462;2.1;0.784;0.512;0.3;2.3;2.6;0.01;0.095;0.053;2.2;1;0.6;0.3;1.4;108.5;111.5;-3;-1.1;0.232
Lonzo Ball;24;35;34.6;190;6,6;13;10.9;0.423;0.567;0.229;7.4;0.423;0.321;0.679;0.8;0.75;0.575;1;4.4;5.4;0.029;0.125;0.077;5.1;2.3;1.8;0.9;2.4;110.1;107;3.1;2.3;0.17
Lou Williams;35;56;14.3;175;6,2;6.3;5.7;0.391;0.448;0.497;1.8;0.363;0.681;0.319;1.4;0.859;0.5;0.3;1.3;1.6;0.02;0.084;0.052;1.9;0.8;0.5;0.1;0.9;110.4;109.5;0.8;0.3;0.215
Louis King;23;10;10.4;205;6,7;4.5;4.7;0.319;0.404;0.311;2.7;0.296;0.426;0.574;1;0.7;0.438;0;1.2;1.2;0;0.115;0.051;0.9;0;0.2;0.1;1.4;103.1;115;-11.9;-2.9;0.195
Luguentz Dort;23;51;32.7;215;6,3;17.2;14.2;0.404;0.493;0.372;7.7;0.332;0.461;0.539;3.7;0.843;0.541;0.7;3.4;4.2;0.02;0.097;0.058;1.7;1.7;0.9;0.4;2.9;101.9;110.1;-8.1;-5.8;0.228
Luka Doncic;23;65;35.4;230;6,7;28.4;21.6;0.457;0.529;0.476;8.8;0.353;0.594;0.406;7.5;0.744;0.571;0.9;8.3;9.1;0.025;0.23;0.129;8.7;4.5;1.2;0.6;2.2;113.8;110.3;3.5;2.2;0.368
Luka Garza;23;32;12.2;243;6,10;5.8;4.6;0.449;0.503;0.538;1.5;0.327;0.667;0.333;1.9;0.623;0.535;1.8;1.3;3.1;0.13;0.116;0.124;0.6;0.6;0.3;0.2;1.7;104.6;110.9;-6.3;-2;0.195
Luke Kennard;26;70;27.4;206;6,5;11.9;9.1;0.449;0.598;0.233;6;0.449;0.338;0.662;1.1;0.896;0.619;0.3;3;3.3;0.01;0.1;0.057;2.1;0.9;0.6;0.1;1.4;110;106.6;3.4;2.6;0.16
Luke Kornet;26;15;6.9;250;7,2;2;1.8;0.481;0.481;0.867;0.3;0;0.815;0.185;0.4;0.667;0.506;0.9;1.1;1.9;0.118;0.142;0.13;0.6;0;0.2;0.2;0.6;117.2;106.8;10.4;1.5;0.112
M.J. Walker;24;2;4.2;213;6,5;0;2;0;0;0;1;0;0.5;0.5;0;0;0;0;0.5;0.5;0;0.143;0.048;0.5;0;1;0;0.5;70;89.5;-19.5;-1.5;0.138
Mac McClung;23;2;12.2;185;6,2;4;3;0.5;0.583;0.5;1.5;0.333;0.5;0.5;0.5;1;0.621;0;1.5;1.5;0;0.107;0.067;0.5;1.5;0.5;0.5;2.5;124.5;105.4;19.2;3.5;0.164
Malachi Flynn;24;44;12.2;175;6,1;4.3;4.2;0.393;0.475;0.444;2;0.333;0.508;0.492;0.5;0.625;0.488;0.2;1.2;1.4;0.016;0.097;0.053;1.6;0.3;0.5;0.1;1;109.2;111.8;-2.6;-0.6;0.157
Malcolm Brogdon;29;36;33.5;229;6,5;19.1;15.1;0.448;0.501;0.539;5.2;0.312;0.657;0.343;4.6;0.856;0.557;0.9;4.2;5.1;0.026;0.121;0.074;5.9;2.1;0.8;0.4;2;110.8;111.1;-0.4;0;0.241
Malcolm Hill;26;19;11.2;220;6,6;3.8;2.7;0.462;0.587;0.306;1.9;0.361;0.308;0.692;0.7;0.786;0.619;0.6;1.3;1.8;0.051;0.118;0.084;0.4;0.2;0.4;0.2;1.3;107.4;114.7;-7.3;-1.6;0.118
Malik Beasley;25;79;25;187;6,4;12.1;10.8;0.391;0.532;0.193;8.1;0.377;0.251;0.749;0.8;0.817;0.544;0.3;2.5;2.9;0.012;0.1;0.054;1.5;0.5;0.5;0.2;1.1;112.1;110.1;2;1;0.189
Malik Fitts;24;15;4.2;230;6,5;1.4;1.3;0.421;0.553;0.286;0.7;0.5;0.474;0.526;0;0;0.553;0.1;1;1.1;0.033;0.185;0.12;0.3;0.1;0;0;0.3;93.4;109.7;-16.3;-1.3;0.139
Malik Monk;24;76;28.1;200;6,3;13.8;10.9;0.473;0.578;0.416;5.8;0.391;0.465;0.535;1.5;0.795;0.597;0.5;2.9;3.4;0.017;0.099;0.058;2.9;1.6;0.8;0.4;1.8;113.2;112.9;0.3;0.7;0.195
Malik Newman;25;1;7.7;190;6,3;8;5;0.6;0.6;0.75;1;0;0.8;0.2;2;1;0.68;0;1;1;0;0.1;0.053;1;1;0;0;0;91.7;83.3;8.3;1;0.438
Mamadi Diakite;25;13;14.4;228;6,9;4.3;3.6;0.532;0.532;0.893;0.4;0;0.894;0.106;0.8;0.545;0.54;1.3;3.2;4.5;0.084;0.216;0.149;0.2;0.5;0.4;0.7;2.5;95.8;98.9;-3.2;-1.1;0.136
Marcus Garrett;23;12;10.7;205;6,5;1.1;1.8;0.238;0.262;0.615;0.3;0.25;0.81;0.19;0.4;0.4;0.28;0.8;1.2;1.9;0.072;0.108;0.09;0.6;0.2;0.4;0.3;1.3;114.1;108.3;5.8;1.4;0.086
Marcus Morris Sr.;32;54;29;218;6,8;15.4;12.8;0.434;0.507;0.48;5.1;0.367;0.602;0.398;2.7;0.872;0.549;0.5;3.9;4.4;0.016;0.129;0.074;2.1;1.3;0.5;0.3;2.1;109.2;114;-4.8;-2.6;0.228
Marcus Smart;28;71;32.3;220;6,4;12.1;10.1;0.418;0.501;0.42;5.1;0.331;0.499;0.501;2.5;0.793;0.54;0.6;3.2;3.8;0.018;0.093;0.057;5.9;2.2;1.7;0.3;2.3;114.5;105.2;9.3;6.2;0.179
Markelle Fultz;24;18;20;209;6,4;10.8;9.7;0.474;0.486;0.81;0.9;0.235;0.903;0.097;1.7;0.806;0.517;0.2;2.5;2.7;0.01;0.116;0.063;5.5;2.2;1.1;0.3;1.2;103.7;109.1;-5.3;-2.1;0.265
Markieff Morris;32;17;17.5;245;6,9;7.6;6.7;0.474;0.531;0.636;2.3;0.333;0.658;0.342;0.5;0.889;0.547;1;1.6;2.6;0.059;0.089;0.075;1.4;1.2;0.4;0.1;1.9;112.4;107.9;4.5;1.1;0.197
Marko Simonovic;22;9;3.9;220;6,11;1.9;1.7;0.267;0.3;0.353;0.6;0.2;0.667;0.333;1.2;0.727;0.428;0.6;0.6;1.1;0.122;0.119;0.12;0;0.2;0.1;0.1;0.7;105.4;104.2;1.2;0.3;0.247
Markus Howard;23;31;5.7;175;5,10;4.1;3.3;0.386;0.525;0.175;2.3;0.4;0.307;0.693;0.7;0.87;0.567;0.1;0.3;0.4;0.01;0.064;0.033;0.2;0.2;0.3;0;0.5;107.9;112.8;-4.9;-0.4;0.264
Marquese Chriss;24;34;10.2;240;6,9;4.5;3.9;0.463;0.493;0.701;0.7;0.32;0.813;0.187;1;0.667;0.518;1;2.1;3;0.096;0.197;0.147;0.5;0.5;0.4;0.4;1.9;105.4;107.5;-2.1;-0.3;0.205
Marvin Bagley III;23;48;23.9;235;6,11;11.3;9.3;0.504;0.53;0.748;2;0.237;0.783;0.217;2.1;0.663;0.551;2.2;4.9;7;0.084;0.2;0.14;0.8;0.8;0.5;0.4;1.9;109.3;114.9;-5.6;-2.8;0.191
Mason Jones;23;4;12.6;200;6,4;6.8;3.8;0.467;0.5;0.444;1;0.25;0.733;0.267;3.8;0.8;0.625;0.3;2.3;2.5;0.02;0.148;0.09;1;0.3;0.5;0;2;114.7;91.9;22.8;5.8;0.18
Mason Plumlee;32;73;24.6;254;6,11;6.5;4.4;0.641;0.641;0.86;0;0;0.994;0.006;2.3;0.392;0.603;2.4;5.3;7.7;0.091;0.205;0.148;3.1;1.4;0.8;0.7;3.1;110.5;109.6;0.9;0.1;0.117
Matisse Thybulle;25;66;25.5;201;6,5;5.7;4.5;0.5;0.575;0.554;2.2;0.313;0.52;0.48;0.7;0.791;0.594;0.6;1.7;2.3;0.026;0.064;0.045;1.1;0.6;1.7;1.1;2.4;110.9;107.2;3.8;1.3;0.095
Matt Mooney;27;1;1.9;199;6,2;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;40;140;-100;-5;0.4
Matt Ryan;25;1;5.3;215;6,7;3;5;0.2;0.3;0;5;0.2;0;1;0;0;0.3;0;0;0;0;0;0;0;0;1;0;0;116.7;91.7;25;3;0.357
Matt Thomas;27;40;11.5;190;6,3;4;3.4;0.41;0.541;0.248;2.3;0.385;0.321;0.679;0.5;0.8;0.564;0.1;1.2;1.3;0.007;0.096;0.053;0.5;0.2;0.2;0.1;0.5;109.5;108.5;1.1;0.8;0.137
Maurice Harkless;29;47;18.4;220;6,7;4.6;3.9;0.459;0.544;0.479;2.1;0.307;0.442;0.558;0.6;0.714;0.561;0.3;2.1;2.4;0.014;0.114;0.065;0.5;0.7;0.6;0.5;1.6;106.7;110.8;-4.2;-1.9;0.112
Max Strus;26;68;23.3;215;6,5;10.6;8.3;0.441;0.602;0.189;6.5;0.41;0.216;0.784;0.8;0.792;0.614;0.4;2.6;3;0.016;0.112;0.065;1.4;0.8;0.4;0.2;1.7;113.7;108.1;5.6;2.5;0.177
Maxi Kleber;30;59;24.6;240;6,10;7;6;0.398;0.516;0.282;4.3;0.325;0.28;0.72;1.1;0.708;0.537;1.2;4.7;5.9;0.047;0.182;0.116;1.2;0.8;0.5;1;2.3;109.2;105.3;3.9;2;0.131
McKinley Wright IV;23;5;3.8;192;5,11;1;0.6;0.667;0.833;0.4;0.4;0.5;0.333;0.667;0;0;0.833;0;0;0;0;0;0;0.6;0.2;0;0;0.2;102.4;128.2;-25.8;-1.4;0.082
Melvin Frazier;25;3;39.9;215;6,5;10.7;16;0.271;0.281;0.75;7;0.048;0.563;0.438;2.3;0.714;0.313;1.7;2.7;4.3;0.033;0.072;0.049;0.3;1;0.3;0;2.7;91.5;130.3;-38.8;-30.7;0.191
Micah Potter;24;3;10.3;248;6,10;4;3.7;0.455;0.455;0.833;0.7;0;0.818;0.182;0.7;1;0.505;1.3;1.7;3;0.095;0.125;0.11;0;0.3;0.3;0.3;1.3;60.3;116.7;-56.4;-13.3;0.148
Michael Porter Jr.;24;9;29.4;218;6,10;9.9;11.4;0.359;0.408;0.607;5.3;0.208;0.534;0.466;1;0.556;0.416;1;5.6;6.6;0.035;0.172;0.108;1.9;1.3;1.1;0.2;1.8;104.5;94.7;9.8;6.4;0.192
Mikal Bridges;25;82;34.8;209;6,6;14.2;10.5;0.534;0.601;0.59;3.8;0.369;0.636;0.364;1.9;0.834;0.627;0.9;3.3;4.2;0.027;0.089;0.06;2.3;0.8;1.2;0.4;1.8;116.7;106.9;9.8;7;0.149
Mike Conley;34;72;28.6;175;6,1;13.7;11;0.435;0.542;0.355;5.8;0.408;0.477;0.523;2.3;0.796;0.572;0.7;2.4;3;0.023;0.079;0.051;5.3;1.7;1.3;0.3;2;112.5;104.9;7.7;4.8;0.202
Mike Muscala;30;43;13.8;240;6,10;8;5.8;0.456;0.597;0.25;3.8;0.429;0.343;0.657;1.3;0.842;0.63;0.5;2.5;3;0.032;0.166;0.099;0.5;0.3;0.4;0.6;1.3;106.7;104.9;1.8;0.5;0.198
Miles Bridges;24;80;35.5;225;6,7;20.2;15.2;0.491;0.554;0.548;5.8;0.331;0.617;0.383;4.2;0.802;0.593;1.1;5.9;7;0.03;0.158;0.094;3.8;1.9;0.9;0.8;2.4;114.5;112.4;2.1;1.8;0.224
Miles McBride;21;40;9.3;195;6,1;2.2;2.7;0.296;0.375;0.337;1.7;0.25;0.37;0.63;0.3;0.667;0.393;0.1;1;1.1;0.011;0.097;0.056;1;0.1;0.4;0;1.1;113.1;100.1;13;2.5;0.137
Mitchell Robinson;24;72;25.7;240;7,0;8.5;4.8;0.761;0.761;0.856;0;0;1;0;2.5;0.486;0.722;4.1;4.5;8.6;0.145;0.171;0.158;0.5;0.8;0.8;1.8;2.7;109.1;111.2;-2.1;-1.1;0.11
Miye Oni;24;16;2.8;206;6,5;0.3;0.6;0.222;0.278;0.4;0.5;0.125;0.111;0.889;0.1;0;0.265;0.1;0.4;0.4;0.024;0.118;0.076;0.3;0.1;0;0;0.4;85.4;118.8;-33.3;-2;0.095
Mo Bamba;24;71;25.7;231;7,0;10.6;8.7;0.48;0.566;0.5;4;0.381;0.545;0.455;1;0.781;0.582;2.1;6;8.1;0.077;0.214;0.146;1.2;1.1;0.5;1.7;2.6;101.8;111.3;-9.6;-5.3;0.17
Monte Morris;27;75;29.9;183;6,2;12.6;10.3;0.484;0.564;0.529;4.2;0.395;0.594;0.406;1.1;0.869;0.583;0.4;2.7;3;0.013;0.087;0.052;4.4;1;0.7;0.2;1.2;116.3;110.4;6;3.8;0.173
Montrezl Harrell;28;71;23.1;240;6,7;13.1;7.8;0.645;0.649;0.76;0.2;0.235;0.969;0.031;4.2;0.716;0.68;2.1;4;6.1;0.092;0.163;0.129;2;1;0.4;0.6;1.9;111.6;108.5;3;1.2;0.198
Moritz Wagner;25;63;15.2;245;6,11;9;6.3;0.497;0.581;0.465;3.2;0.328;0.492;0.508;2;0.806;0.623;0.7;3;3.7;0.041;0.19;0.115;1.4;0.9;0.3;0.2;2;105.3;112.6;-7.2;-2.4;0.224
Moses Brown;22;40;8.6;245;7,2;4.3;2.7;0.593;0.593;0.749;0;0;1;0;1.8;0.597;0.612;1;2.4;3.4;0.11;0.257;0.186;0;0.5;0.2;0.4;1.3;102.4;108.5;-6.2;-1.2;0.199
Moses Moody;20;52;11.7;211;6,5;4.4;3.5;0.437;0.546;0.351;2.1;0.364;0.399;0.601;0.7;0.778;0.573;0.3;1.2;1.5;0.028;0.098;0.064;0.4;0.3;0.1;0.2;0.8;104.8;108.9;-4;-0.8;0.148
Moses Wright;23;4;3.7;226;6,8;1.3;1;0.25;0.25;0.4;0.3;0;0.75;0.25;0.8;1;0.47;0.3;0.5;0.8;0.083;0.143;0.115;0.5;0;0;0.3;0;100;121.9;-21.9;-1.8;0.139
Mychal Mulder;28;17;14.1;195;6,3;4.1;4.5;0.312;0.422;0.203;3.2;0.315;0.299;0.701;0.2;1;0.438;0.1;1.3;1.4;0.007;0.089;0.045;0.3;0.5;0.2;0.1;0.8;100.6;110.8;-10.3;-3.2;0.153
Myles Powell;24;11;4.7;195;6,2;1.2;1.5;0.294;0.324;0.615;0.5;0.167;0.647;0.353;0.2;1;0.364;0.1;0.5;0.5;0.019;0.098;0.058;0.3;0.3;0.1;0;0.7;106.3;121.4;-15.1;-1.6;0.163
Myles Turner;26;42;29.4;250;6,11;12.9;9.4;0.509;0.587;0.515;4.4;0.333;0.534;0.466;2.5;0.752;0.615;1.5;5.5;7.1;0.052;0.188;0.12;1;1.3;0.7;2.8;2.8;109.7;109.9;-0.3;-0.3;0.173
Naji Marshall;24;55;13.4;220;6,7;5.7;4.9;0.405;0.444;0.562;1.9;0.2;0.61;0.39;1.7;0.796;0.505;0.7;1.9;2.6;0.047;0.142;0.092;1.1;0.8;0.6;0.1;1.3;105.7;108;-2.2;-0.9;0.197
Nassir Little;22;42;25.9;220;6,5;9.8;7.5;0.46;0.541;0.459;3.7;0.331;0.511;0.489;2.2;0.734;0.575;1.4;4.2;5.6;0.052;0.158;0.105;1.3;1;0.6;0.9;2;110.2;111.1;-0.9;-0.5;0.155
Nate Hinton;23;2;1.2;210;6,5;0;0.5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;133.3;57.1;76.2;2;0.25
Nathan Knight;24;37;7.2;253;6,10;3.7;2.4;0.511;0.534;0.594;0.4;0.308;0.852;0.148;1.6;0.733;0.603;0.9;1.4;2.3;0.114;0.174;0.145;0.6;0.5;0.2;0.2;1.1;105.5;101.9;3.6;0.6;0.203
Naz Reid;22;77;15.8;264;6,9;8.3;6.2;0.489;0.549;0.553;2.2;0.343;0.651;0.349;1.9;0.765;0.588;1.3;2.6;3.9;0.074;0.161;0.115;0.9;1.1;0.5;0.9;2.2;105.5;107.9;-2.4;-1.2;0.209
Neemias Queta;22;15;8;248;7,0;3;2.5;0.447;0.447;0.756;0;0;1;0;1.1;0.647;0.495;0.9;1.1;2.1;0.104;0.144;0.123;0.4;0.4;0.1;0.5;1.2;104.3;108.4;-4.1;-0.5;0.176
Nemanja Bjelica;34;71;16.1;234;6,9;6.1;4.8;0.468;0.547;0.49;2.1;0.362;0.564;0.436;1.1;0.728;0.573;0.9;3.3;4.1;0.055;0.187;0.124;2.2;1.2;0.6;0.4;1.8;109.2;104;5.2;1.8;0.175
Nerlens Noel;28;25;22.5;220;6,11;3.4;2.4;0.533;0.533;0.753;0.1;0;0.95;0.05;1.2;0.7;0.581;1.9;3.7;5.6;0.084;0.161;0.123;0.9;0.8;1.2;1.2;2.7;104.1;109.8;-5.7;-2.7;0.072
Nic Claxton;23;47;20.7;215;6,11;8.7;5.6;0.674;0.674;0.868;0;0;1;0;2;0.581;0.672;1.9;3.7;5.6;0.098;0.157;0.13;0.9;0.8;0.5;1.1;2.3;109.4;109.8;-0.4;-0.6;0.15
Nick Richards;24;50;7.3;245;7,0;3;1.8;0.667;0.667;0.8;0;0;1;0;0.9;0.698;0.689;0.7;1;1.7;0.086;0.137;0.111;0.3;0.5;0.2;0.4;1;102.4;115.4;-13;-2.2;0.147
Nickeil Alexander-Walker;23;65;22.6;205;6,5;10.6;10.5;0.372;0.449;0.428;5.2;0.311;0.503;0.497;1.7;0.743;0.475;0.6;2.3;2.9;0.024;0.103;0.062;2.4;1.4;0.7;0.4;1.6;107.6;110.7;-3.1;-1.7;0.237
Nicolas Batum;33;59;24.8;230;6,8;8.3;6.6;0.463;0.602;0.289;4.6;0.4;0.302;0.698;0.6;0.658;0.608;0.5;3.8;4.3;0.019;0.146;0.082;1.7;0.7;1;0.7;1.4;105.4;109.8;-4.4;-2.2;0.13
Nik Stauskas;28;8;4.8;207;6,6;2.3;1.8;0.357;0.5;0.111;1.3;0.4;0.286;0.714;0.8;0.667;0.541;0.1;0.3;0.4;0.024;0.049;0.037;0.3;0.1;0;0;0.1;109.5;90.2;19.3;2.3;0.184
Nikola Jokic;27;74;33.5;284;6,11;27.1;17.7;0.583;0.62;0.666;3.9;0.337;0.78;0.22;6.3;0.81;0.661;2.8;11;13.8;0.09;0.313;0.209;7.9;3.8;1.5;0.9;2.6;117.3;108.9;8.4;6;0.309
Nikola Vucevic;31;73;33.1;260;6,10;17.6;15.8;0.473;0.518;0.686;4.5;0.314;0.713;0.287;1.7;0.76;0.533;1.9;9.1;11;0.06;0.274;0.168;3.2;1.9;1;1;2.5;111.3;112.8;-1.6;-0.7;0.244
Norman Powell;29;45;32.4;215;6,3;19;13.4;0.461;0.549;0.406;5.6;0.419;0.582;0.418;5.2;0.811;0.603;0.4;2.8;3.2;0.013;0.089;0.05;2.1;1.5;0.9;0.5;2.4;110.6;118.7;-8.1;-4.9;0.231
Norvel Pelle;29;3;6.3;231;6,10;2;1.7;0.6;0.6;1;0;0;1;0;0;0;0.6;1;1;2;0.15;0.158;0.154;0;0.7;0;0.3;0.3;53.7;107.9;-54.2;-6.3;0.152
OG Anunoby;24;48;36;232;6,7;17.1;14.5;0.443;0.526;0.472;6.6;0.363;0.545;0.455;2.5;0.754;0.549;1.5;4;5.5;0.04;0.116;0.076;2.6;1.7;1.5;0.5;2.7;112;108.1;3.9;2.8;0.204
Obi Toppin;24;72;17.1;220;6,9;9;6.6;0.531;0.586;0.614;2.3;0.308;0.643;0.357;1.7;0.758;0.614;1;2.8;3.7;0.056;0.155;0.107;1.1;0.8;0.3;0.5;1.4;110.9;104;6.9;2.3;0.205
Olivier Sarr;23;22;19.1;240;7,0;7;4.6;0.574;0.639;0.588;1.3;0.448;0.713;0.287;1.3;0.828;0.672;1.5;2.7;4.2;0.078;0.133;0.106;0.9;1;0.3;0.7;2.4;106;108;-2;-1.3;0.136
Omer Yurtseven;24;56;12.6;275;6,11;5.3;4.4;0.526;0.528;0.863;0.2;0.091;0.955;0.045;1.1;0.623;0.546;1.5;3.7;5.3;0.12;0.293;0.207;0.9;0.7;0.3;0.4;1.5;113.3;108;5.3;1.1;0.19
Onyeka Okongwu;21;48;20.7;240;6,8;8.2;4.7;0.69;0.69;0.796;0;0;1;0;2.3;0.727;0.714;2.4;3.5;5.9;0.117;0.163;0.141;1.1;0.9;0.6;1.3;3.1;114.6;109.1;5.5;2.3;0.137
Oshae Brissett;24;67;23.3;210;6,7;9.1;7.6;0.411;0.493;0.408;3.5;0.35;0.532;0.468;2.4;0.695;0.53;1.6;3.7;5.3;0.065;0.165;0.113;1.1;0.8;0.7;0.4;1.7;110.8;116.8;-6;-3.3;0.166
Otto Porter Jr.;29;63;22.2;198;6,8;8.2;6.6;0.464;0.56;0.439;3.4;0.37;0.481;0.519;1;0.803;0.581;1.4;4.4;5.7;0.06;0.189;0.125;1.5;0.6;1.1;0.5;1.3;110.2;103.3;6.8;3.7;0.145
